date,tinder,match,eharmony,v-select,ny-select
2011-10-16,0,75,26,0,0
2011-10-23,0,76,26,0,0
2011-10-30,0,75,27,0,0
2011-11-06,0,73,26,0,0
2011-11-13,0,74,25,0,0
2011-11-20,0,72,25,0,0
2011-11-27,0,74,25,0,0
2011-12-04,0,73,24,0,0
2011-12-11,0,71,23,0,0
2011-12-18,0,71,24,0,0
2011-12-25,0,83,35,0,0
2012-01-01,0,85,38,0,1
2012-01-08,0,82,32,0,0
2012-01-15,0,81,31,0,0
2012-01-22,0,81,31,0,0
2012-01-29,0,79,31,0,0
2012-02-05,0,81,29,0,0
2012-02-12,0,81,31,1,0
2012-02-19,0,83,31,0,0
2012-02-26,0,78,27,0,0
2012-03-04,0,76,26,0,0
2012-03-11,0,75,25,0,0
2012-03-18,0,75,26,0,0
2012-03-25,0,73,25,0,0
2012-04-01,0,74,26,0,0
2012-04-08,0,77,26,0,0
2012-04-15,0,77,24,0,0
2012-04-22,1,76,25,0,0
2012-04-29,1,75,24,0,0
2012-05-06,0,72,23,0,0
2012-05-13,0,72,23,0,0
2012-05-20,0,71,25,0,0
2012-05-27,0,72,26,0,0
2012-06-03,0,75,26,0,0
2012-06-10,0,75,25,0,0
2012-06-17,0,74,23,0,0
2012-06-24,0,74,24,0,0
2012-07-01,1,78,28,0,0
2012-07-08,0,77,26,0,0
2012-07-15,0,79,24,0,0
2012-07-22,0,78,25,0,0
2012-07-29,0,77,24,0,0
2012-08-05,0,75,24,0,0
2012-08-12,0,77,24,0,0
2012-08-19,0,78,25,0,0
2012-08-26,0,74,26,0,0
2012-09-02,0,75,26,0,0
2012-09-09,0,72,23,0,0
2012-09-16,0,74,22,0,0
2012-09-23,0,74,22,0,0
2012-09-30,0,76,22,0,0
2012-10-07,0,77,22,0,0
2012-10-14,0,74,22,0,0
2012-10-21,1,75,22,0,0
2012-10-28,0,74,21,0,0
2012-11-04,0,73,21,0,0
2012-11-11,0,75,21,0,0
2012-11-18,1,72,22,0,0
2012-11-25,1,72,21,0,0
2012-12-02,1,69,20,0,0
2012-12-09,1,69,20,0,0
2012-12-16,1,67,19,0,0
2012-12-23,1,79,23,0,0
2012-12-30,1,91,31,0,1
2013-01-06,3,80,28,0,0
2013-01-13,4,77,25,0,0
2013-01-20,5,80,25,0,0
2013-01-27,6,77,23,0,0
2013-02-03,7,75,23,0,0
2013-02-10,6,75,25,1,0
2013-02-17,6,75,24,0,0
2013-02-24,5,73,21,0,0
2013-03-03,5,73,20,0,0
2013-03-10,5,70,19,0,0
2013-03-17,4,69,20,0,0
2013-03-24,4,71,21,0,0
2013-03-31,4,71,21,0,0
2013-04-07,5,71,20,0,0
2013-04-14,4,69,20,0,0
2013-04-21,4,68,20,0,0
2013-04-28,5,69,20,0,0
2013-05-05,4,69,19,0,0
2013-05-12,5,65,18,0,0
2013-05-19,5,66,20,0,0
2013-05-26,5,67,20,0,0
2013-06-02,6,68,20,0,0
2013-06-09,5,67,19,0,0
2013-06-16,5,69,24,0,0
2013-06-23,7,68,21,0,0
2013-06-30,7,70,23,0,0
2013-07-07,8,72,23,0,0
2013-07-14,11,69,22,0,0
2013-07-21,10,73,22,0,0
2013-07-28,11,71,22,0,0
2013-08-04,11,72,22,0,0
2013-08-11,12,71,21,0,0
